month;chain_name;chain_id;at_block_id;total_dot_issuance;total_dot_staked;percentage_staked
2024-01-01T00:00:00Z;polkadot;10;19287775;1.406294631255281E9;7.420894118186044E8;0.5276912784316068
2023-12-01T00:00:00Z;polkadot;10;18844949;1.3948576637273726E9;7.100177240567821E8;0.509025216350359
2023-11-01T00:00:00Z;polkadot;10;18400713;1.3833844807301338E9;7.089169774096808E8;0.5124511567713431
2023-10-01T00:00:00Z;polkadot;10;17969608;1.3729653058699732E9;6.905617775780011E8;0.5029710325713073
2023-09-01T00:00:00Z;polkadot;10;17523956;1.361725985045998E9;6.632049902629671E8;0.48703263178205747
2023-08-01T00:00:00Z;polkadot;10;17092889;1.3511491841800802E9;6.607608223347719E8;0.4890361701515161
2023-07-01T00:00:00Z;polkadot;10;16647018;1.3401795541804404E9;5.995140953808876E8;0.4473386372078391
2023-06-01T00:00:00Z;polkadot;10;16200972;1.3297781347928338E9;5.778865519304107E8;0.4345736606809524
2023-05-01T00:00:00Z;polkadot;10;15769655;1.3191565146397777E9;5.691314266934941E8;0.4314358610046412
2023-04-01T00:00:00Z;polkadot;10;15323836;1.308662609093924E9;6.341815702834456E8;0.48460280432596187
2023-03-01T00:00:00Z;polkadot;10;14892124;1.298339748964025E9;6.139064011081305E8;0.4728395642188267
2023-02-01T00:00:00Z;polkadot;10;14452425;1.2883053858652136E9;6.321893676543972E8;0.4907139057171797
2023-01-01T00:00:00Z;polkadot;10;14049652;1.2789067810830793E9;5.880431143090664E8;0.45980138897306105
